S(VI)F_label,Amine Label,Hit,SF HOMO,SF LUMO,SF Mu,SF Eta,SF Omega,S NBO charge,S NMR shift,SF 19F NMR shift,SF L,SF Bmin,SF Bmax,SF L_wsd,SF L_max,SF L_min,SF L_range,SF Bmin_wsd,SF Bmin_max,SF Bmin_min,SF Bmin_range,SF Bmax_wsd,SF Bmax_max,SF Bmax_min,SF Bmax_range,SF bv225,SF bv250,SF bv275,SF bv300,SF bv225_wsd,SF bv225_max,SF bv225_min,SF bv225_range,SF bv250_wsd,SF bv250_max,SF bv250_min,SF bv250_range,SF bv275_wsd,SF bv275_max,SF bv275_min,SF bv275_range,SF bv300_wsd,SF bv300_max,SF bv300_min,SF bv300_range,Amine HOMO,Amine LUMO,Amine Mu,Amine Eta,Amine Omega,Amine N NBO charge,Amine N NMR shift,Amine N NBO LPE,Amine N Vmin,Amine bv225,Amine bv250,Amine bv275,Amine bv300,Amine bv225_wsd,Amine bv225_max,Amine bv225_min,Amine bv225_range,Amine bv250_wsd,Amine bv250_max,Amine bv250_min,Amine bv250_range,Amine bv275_wsd,Amine bv275_max,Amine bv275_min,Amine bv275_range,Amine bv300_wsd,Amine bv300_max,Amine bv300_min,Amine bv300_range
SFA,NHQ,1,-0.29623,0.01696,-0.13964,0.31319,0.03113,2.4681,38.7961,74.8027,8.623918884,2.268539289,5.999301742,1.646567453,9.8,6.25,3.55,0.173879369,2.648494171,2.029039421,0.61945475,1.413325194,7.963039621,4.808846015,3.154193606,85.25853037,76.59894326,67.62569951,58.42114321,0.138752196,85.7012271,85.0134391,0.687788,0.337633289,77.49881989,76.18195821,1.31686168,0.596928682,68.98277962,67.01006955,1.97271007,0.836064155,60.09351242,57.66325099,2.43026143,-0.28795,0.07827,-0.10484,0.36622,0.01501,-0.64702,232.3742,-0.36626,-0.1146,71.12671817,63.82652504,57.56187854,51.50911734,0.237766534,72.497791,69.912175,2.585616,0.461879749,65.454768,62.245949,3.208819,0.74424566,59.370148,55.743934,3.626214,0.995338288,53.585042,49.509367,4.075675
SFA,NHS,1,-0.29623,0.01696,-0.13964,0.31319,0.03113,2.4681,38.7961,74.8027,8.623918884,2.268539289,5.999301742,1.646567453,9.8,6.25,3.55,0.173879369,2.648494171,2.029039421,0.61945475,1.413325194,7.963039621,4.808846015,3.154193606,85.25853037,76.59894326,67.62569951,58.42114321,0.138752196,85.7012271,85.0134391,0.687788,0.337633289,77.49881989,76.18195821,1.31686168,0.596928682,68.98277962,67.01006955,1.97271007,0.836064155,60.09351242,57.66325099,2.43026143,-0.24617,0.01468,-0.11575,0.26085,0.02568,-0.64606,215.9221,-0.37491,-0.1030,70.00483417,62.70504706,56.6575529,51.05166816,0.259667234,71.317575,69.661433,1.656142,0.466600969,64.795322,62.384071,2.411251,0.647163891,59.365088,56.202492,3.162596,0.810124157,54.229909,50.363647,3.866262
SFB,NHR,1,-0.30464,-0.00266,-0.15365,0.30198,0.03909,2.47793,47.2705,73.3896,7.745996173,2.07043213,5.399675133,1.582544258,8.4,5.45,2.95,0.196747588,2.319302461,2.02751094,0.291791521,0.625499441,6.312091571,5.14003891,1.172052661,84.55188441,75.47795953,66.24939984,56.87500009,0.246676166,84.93502751,84.44804018,0.48698733,0.486662432,76.20550202,75.27085161,0.93465041,0.637030389,67.20249417,65.97901599,1.22347818,0.716303402,57.92784502,56.56992925,1.35791577,-0.28146,0.07568,-0.10289,0.35714,0.01482,-0.6563,221.7472,-0.35426,-0.1089,69.73418686,62.29794643,56.18473974,50.57246452,0.032025573,69.777617,69.732326,0.045291,0.04783436,62.362815,62.295167,0.067648,0.075909327,56.287681,56.180329,0.107352,0.078762503,50.679275,50.567888,0.111387
SFC,NHR,1,-0.30003,0.02994,-0.13504,0.32997,0.02763,2.46413,31.9266,64.1499,6.003773494,2.278443929,7.13388252,1.200286011,9.05,4.6,4.45,0.312968145,2.894965518,2.029814441,0.865151077,1.022204282,7.619875327,4.25470328,3.365172047,86.12797986,78.08708309,69.66807494,60.94424748,0.527057548,87.40455516,85.20722457,2.19733059,0.787124185,80.02067841,76.48715847,3.53351994,1.0137253,72.16830348,67.38305452,4.78524896,1.202296509,63.85573086,58.2107877,5.64494316,-0.28146,0.07568,-0.10289,0.35714,0.01482,-0.6563,221.7472,-0.35426,-0.1089,69.73418686,62.29794643,56.18473974,50.57246452,0.032025573,69.777617,69.732326,0.045291,0.04783436,62.362815,62.295167,0.067648,0.075909327,56.287681,56.180329,0.107352,0.078762503,50.679275,50.567888,0.111387
SFD,NHT,1,-0.27867,0.01373,-0.13247,0.2924,0.03001,2.47407,37.1512,66.5123,7.742180844,2.297013026,7.707454709,0.646048755,8.95,4.7,4.25,0.242951038,2.861650247,2.205665509,0.655984738,0.839584109,7.988272654,5.598660554,2.3896121,86.12318486,78.05955219,69.65278154,60.97767558,0.3351857,87.7197808,85.76118253,1.95859827,0.525488362,80.68906734,77.60673176,3.08233558,0.722377673,73.13259813,69.1212733,4.01132483,0.861624999,65.0058404,60.40106322,4.60477718,-0.28842,0.06449,-0.11197,0.35291,0.01776,-0.66546,218.5299,-0.36689,-0.0576,74.19169768,67.51349229,61.83623556,56.42351201,2.842444673,74.262792,70.533701,3.729091,3.06445099,67.593376,63.331295,4.262081,3.117699701,61.920778,57.33458,4.586198,3.068793069,56.50937,51.810409,4.698961
SFE,NHV,1,-0.29014,-0.00186,-0.146,0.28828,0.03697,2.45812,34.6641,41.2663,9.580702493,2.131816004,8.391878711,1.642278256,10.75,5.1,5.65,0.275171048,2.969848481,2.015596674,0.954251807,0.741569936,10.52057508,6.752962313,3.767612767,85.47544721,77.05377966,68.30592501,59.25745988,0.163284766,85.85058359,85.34879214,0.50179145,0.446108819,77.80988474,76.55526806,1.25461668,0.797315501,69.41391783,67.40544262,2.00847521,1.100507857,60.63125037,58.02591628,2.60533409,-0.28201,0.0686,-0.1067,0.35061,0.01624,-0.65523,215.8249,-0.35785,-0.1182,70.46662634,63.372785,57.62657468,52.30531147,0.109622764,70.601057,70.446027,0.15503,0.119774696,63.519665,63.350278,0.169387,0.107352244,57.758221,57.606402,0.151819,0.093333852,52.419767,52.287773,0.131994
SFF,NHU,1,-0.26973,0.01875,-0.12549,0.28848,0.02729,2.4616,32.1068,45.9094,7.677807201,2.117431179,9.079770094,1.437780908,12.15,5.1,7.05,0.30511126,2.955716572,2.025766757,0.929949815,1.411909742,9.671866418,3.834383914,5.837482504,85.83061353,77.72434099,69.3792964,60.6778309,0.399121713,86.25599639,85.15161995,1.10437644,0.654661612,78.45409446,76.40300199,2.05109247,0.964305625,70.82653086,67.21581996,3.6107109,1.203772178,62.94457736,57.8058633,5.13871406,-0.29487,0.06566,-0.11461,0.36053,0.01822,-0.85276,221.428,-0.38694,-0.1145,59.50858966,51.10692858,45.05240618,40.24655714,0.374482835,59.685542,58.333881,1.351661,0.515957978,51.262764,49.529892,1.732872,0.614491413,45.234658,43.158456,2.076202,0.687208915,40.41355,38.153084,2.260466
SFG,NHY,1,-0.31865,0.03034,-0.14416,0.34899,0.02977,2.46446,32.3119,87.4884,7.840315135,2.069170749,5.555228217,0.869762727,8.6,7.05,1.55,0.161341703,2.321142681,2.02350354,0.297639141,1.114881435,6.580273551,4.572198596,2.008074955,85.63585545,77.20369002,68.46441275,59.40187121,0.285143497,86.1072366,85.39823825,0.70899835,0.700800793,78.08156346,76.58678664,1.49477682,1.12519177,69.71909331,67.47287659,2.24621672,1.489587115,60.94953245,58.08870866,2.86082379,-0.29105,-0.03559,-0.16332,0.25546,0.05221,-0.84203,213.441,-0.38643,-0.1101,57.87710297,48.93272736,42.5887142,37.6382721,0.018297778,57.89915283,57.8407313,0.05842153,0.025588431,48.95718864,48.89772282,0.05946582,0.030648059,42.61833208,42.54871622,0.06961586,0.036872671,37.67622343,37.59100754,0.08521589
SFH,NHV,1,-0.29398,-0.05666,-0.17532,0.23732,0.06476,2.46388,28.5219,67.0141,6.950619159,2.458578705,8.318665517,0.960334366,8,6.2,1.8,0.594924477,3.076966475,2.034121767,1.042844708,0.833140328,8.923704388,7.383258088,1.5404463,85.30046059,76.65545736,67.77094347,58.68350995,0.191763176,85.55391464,85.10004257,0.45387207,0.400086315,77.13224221,76.23840148,0.89384073,0.638266378,68.46732037,67.11014598,1.35717439,0.861212119,59.51526896,57.79984669,1.71542227,-0.28201,0.0686,-0.1067,0.35061,0.01624,-0.65523,215.8249,-0.35785,-0.1182,70.46662634,63.372785,57.62657468,52.30531147,0.109622764,70.601057,70.446027,0.15503,0.119774696,63.519665,63.350278,0.169387,0.107352244,57.758221,57.606402,0.151819,0.093333852,52.419767,52.287773,0.131994
SFI,NHAA,1,-0.33236,-0.04975,-0.19106,0.28261,0.06458,2.52936,56.3864,30.2874,6.172108518,2.276750554,7.595475326,0.115506974,6.3,6.15,0.15,0.204002225,2.315709567,2.05,0.265709567,0.038527693,7.602631123,7.550662223,0.0519689,84.48891395,75.13226679,65.48197479,55.65134535,0.159420314,84.49784176,84.14407626,0.3537655,0.169069618,75.14299856,74.77424447,0.36875409,0.16814596,65.49844855,65.16413684,0.33431171,0.164223878,55.66862748,55.34940572,0.31922176,-0.28255,0.01043,-0.13606,0.29298,0.03159,-0.64105,220.0129,-0.36966,-0.1033,70.27691207,62.88618106,56.75110512,51.03170862,0.255491115,70.304747,69.943428,0.361319,0.34527812,62.923798,62.435501,0.488297,0.421323919,56.797007,56.201165,0.595842,0.360913665,51.071029,50.56062,0.510409
