index,properties,fragment,type
y0,Coupling,dep,dep
y1,Acid,dep,dep
y2,New Amine,dep,dep
y3,rate,dep,dep
y4,ln rate,dep,dep
x1,e gas_acid_boltz,acid,energetic
x2,g gas_acid_boltz,acid,energetic
x3,E THF_acid_boltz,acid,energetic
x4,G THF_acid_boltz,acid,energetic
x5,dipole_acid_boltz,acid,electronic
x6,E (HOMO)_acid_boltz,acid,energetic
x7,E (LUMO)_acid_boltz,acid,energetic
x8,mu_acid_boltz,acid,energetic
x9,eta LUMO-HOMO_acid_boltz,acid,energetic
x10,omega_acid_boltz,acid,energetic
x11,Polarizability (1)_acid_boltz,acid,electronic
x12,NBO-C1 C=O_acid_boltz,acid,electronic
x13,NBO-O2 C=O_acid_boltz,acid,electronic
x14,NBO-O3 O-H,acid,electronic
x15,NBO-C4_acid_boltz,acid,electronic
x16,NBO-H5 O-H_acid_boltz,acid,electronic
x17,NMR-C1 C=O_acid_boltz,acid,electronic
x18,NMR-C4_acid_boltz,acid,electronic
x19,NMR-H5 O-H_acid_boltz,acid,electronic
x20,angle-O2-C1-C4_acid_boltz,acid,steric
x21,Sterimol-L-C1-C4_acid_boltz,acid,steric
x22,Sterimol-B1-C1-C4_acid_boltz,acid,steric
x23,Sterimol-B5-C1-C4_acid_boltz,acid,steric
x24,IR-freq-C=O_acid_boltz,acid,energetic
x25,IR-freq-O-H_acid_boltz,acid,energetic
x26,Vbur-2.5A_acid_boltz,acid,steric
x27,Vbur-3.0A_acid_boltz,acid,steric
x28,Vbur-2.0A_acid_boltz,acid,steric
x29,e gas_anion_boltz,anion,energetic
x30,g gas_anion_boltz,anion,energetic
x31,E THF_anion_boltz,anion,energetic
x32,G THF_anion_boltz,anion,energetic
x33,dipole_anion_boltz,anion,electronic
x34,E (HOMO)_anion_boltz,anion,energetic
x35,E (LUMO)_anion_boltz,anion,energetic
x36,mu_anion_boltz,anion,energetic
x37,eta_anion_boltz,anion,energetic
x38,omega_anion_boltz,anion,energetic
x39,Polarizability (1)_anion_boltz,anion,electronic
x40,NBO-C1 C=O_anion_boltz,anion,electronic
x41,NBO-C4_anion_boltz,anion,electronic
x42,delta_NBO-O2-O3_anion_boltz,anion,electronic
x43,ave_NBO-O2-O3_anion_boltz,anion,electronic
x44,NMR-C1 C=O_anion_boltz,anion,electronic
x45,NMR-C4_anion_boltz,anion,electronic
x46,Sterimol-L-C1-C4_anion_boltz,anion,steric
x47,Sterimol-B1-C1-C4_anion_boltz,anion,steric
x48,Sterimol-B5-C1-C4_anion_boltz,anion,steric
x49,IR-freq-CO2_asym-stretch_anion_boltz,anion,energetic
x50,IR-freq-CO2_sym-stretch_anion_boltz,anion,energetic
x51,Vbur-2.5A_anion_boltz,anion,steric
x52,Vbur-3.0A_anion_boltz,anion,steric
x53,Vbur-2.0A_anion_boltz,anion,steric
x54,e gas_interm_boltz,interm,energetic
x55,g gas_interm_boltz,interm,energetic
x56,E THF_interm_boltz,interm,energetic
x57,G THF_interm_boltz,interm,energetic
x58,dipole_interm_boltz,interm,electronic
x59,E (HOMO)_interm_boltz,interm,energetic
x60,E (LUMO)_interm_boltz,interm,energetic
x61,mu_interm_boltz,interm,energetic
x62,eta_interm_boltz,interm,energetic
x63,omega_interm_boltz,interm,energetic
x64,Polarizability (1)_interm_boltz,interm,electronic
x65,NBO-C1_interm_boltz,interm,electronic
x66,NBO-O2_interm_boltz,interm,electronic
x67,NBO-N3_interm_boltz,interm,electronic
x68,NBO-C4_interm_boltz,interm,electronic
x69,NMR-C1_interm_boltz,interm,electronic
x70,NMR-C4_interm_boltz,interm,electronic
x71,angle-N3-C1-O2_interm_boltz,interm,steric
x72,angle-N3-C1-C4_interm_boltz,interm,steric
x73,dihedral-C5-N3-C1-O2_interm_boltz,interm,steric
x74,dihedral-C6-N3-C1-O2_interm_boltz,interm,steric
x75,dihedral-C4-C1-N3-C5_interm_boltz,interm,steric
x76,dihedral-C4-C1-N3-C6_interm_boltz,interm,steric
x77,Sterimol-L-C1-C4_interm_boltz,interm,steric
x78,Sterimol-B1-C1-C4_interm_boltz,interm,steric
x79,Sterimol-B5-C1-C4_interm_boltz,interm,steric
x80,IR-freq-C=O_interm_boltz,interm,energetic
x81,Vbur-2.5A_interm_boltz,interm,steric
x82,Vbur-3.0A_interm_boltz,interm,steric
x83,Vbur-2.0A_interm_boltz,interm,steric
x84,e gas_amine_boltz,amine,energetic
x85,g gas_amine_boltz,amine,energetic
x86,E THF_amine_boltz,amine,energetic
x87,G THF_amine_boltz,amine,energetic
x88,dipole_amine_boltz,amine,electronic
x89,E (HOMO)_amine_boltz,amine,energetic
x90,E (LUMO)_amine_boltz,amine,energetic
x91,mu_amine_boltz,amine,energetic
x92,eta_amine_boltz,amine,energetic
x93,omega_amine_boltz,amine,energetic
x94,Polarizability (1)_amine_boltz,amine,electronic
x95,NBO-N1_amine_boltz,amine,electronic
x96,NBO-C4_amine_boltz,amine,electronic
x97,delta_NBO-H2-H3_amine_boltz,amine,electronic
x98,ave_NBO-H2-H3_amine_boltz,amine,electronic
x99,NMR-C4_amine_boltz,amine,electronic
x100,delta_NMR-H2-H3_amine_boltz,amine,electronic
x101,ave_NMR-H2-H3_amine_boltz,amine,electronic
x102,pyramidalization N1 (1st)_anion,amine,steric
x103,lone-pair-N1_anion,amine,steric
x104,angle-H2-N1-H3_amine_boltz,amine,steric
