Label,L,Bmin,Bmax
SFA,9.75,2.368962943,5.042320894
SFA_1,6.5,2.029039421,7.841077732
SFA_2,9.75,2.341656859,4.993245438
SFA_3,9.75,2.428131127,4.990490958
SFA_4,6.25,2.306251269,7.925906888
SFA_5,6.25,2.315915355,7.963039621
SFA_6,9.75,2.410550627,4.808846015
SFA_7,7.7,2.035315431,7.171122646
SFA_8,9.8,2.379761324,4.816637832
SFA_9,9.8,2.648494171,4.843810483
SFB,8.4,2.02751094,5.14003891
SFB_1,5.55,2.040923653,6.26278692
SFB_2,8.4,2.310051452,5.150242713
SFB_3,8.4,2.313616296,5.16139516
SFB_4,5.45,2.314536136,6.300991985
SFB_5,5.45,2.319302461,6.312091571
SFC,5.6,2.128372261,7.577928477
SFC_1,7.85,2.76694229,5.776244455
SFC_10,8.05,2.77047515,5.564395744
SFC_11,6,2.816980093,7.370549505
SFC_12,7.4,2.870710694,6.08358447
SFC_13,5.6,2.326719737,7.464080653
SFC_14,5.6,2.508449748,7.50416551
SFC_15,9.05,2.510933608,4.364057745
SFC_16,7.85,2.894965518,5.801939331
SFC_17,5.15,2.076473976,7.436733154
SFC_18,4.75,2.032103679,7.619875327
SFC_19,5.1,2.3,7.470107094
SFC_2,5.6,2.153108678,7.362404499
SFC_20,6.9,2.029814441,6.757403347
SFC_21,7.55,2.605013326,5.985398901
SFC_22,8.9,2.878430369,4.510543205
SFC_23,9.05,2.892335863,4.25470328
SFC_24,6.1,2.323003172,7.399493226
SFC_25,4.6,2.424534182,7.582380893
SFC_26,4.65,2.327947029,7.470107094
SFC_27,5.85,2.367128438,7.537406716
SFC_28,8.35,2.836762718,5.543013621
SFC_29,8.95,2.579327644,4.430011287
SFC_3,5.6,2.3,7.537406716
SFC_30,5.6,2.604861843,7.582216035
SFC_31,5.7,2.321628446,7.534752816
SFC_32,7.5,2.35878458,6.37906733
SFC_33,6.85,2.706578306,6.575142584
SFC_34,4.65,2.316778241,7.613474897
SFC_35,8.45,2.709310795,5.311544032
SFC_36,8.45,2.677142404,5.277309921
SFC_37,4.65,2.232231822,7.582380893
SFC_38,6.85,2.414482266,6.880588638
SFC_39,4.65,2.458924893,7.569015788
SFC_4,5,2.041589497,7.560588601
SFC_5,5.05,2.313646376,7.540722777
SFC_6,9.05,2.524523599,4.280770959
SFC_7,4.8,2.032235369,7.511657607
SFC_8,6.05,2.660640646,7.402702209
SFC_9,4.6,2.31071864,7.510326225
SFD,7.7,2.205665509,7.926695402
SFD_1,7.7,2.207519924,7.940403012
SFD_10,8.95,2.616560392,5.727128425
SFD_11,7.55,2.590219925,7.919122426
SFD_12,8.6,2.626591328,5.716861027
SFD_13,7.55,2.606927729,7.933000693
SFD_14,8.85,2.850377106,5.656854249
SFD_15,4.7,2.386768667,7.875436496
SFD_16,8.4,2.861650247,5.719484242
SFD_17,4.7,2.403845922,7.869243928
SFD_18,7.7,2.335257536,7.951100553
SFD_19,7.7,2.319798724,7.976214641
SFD_2,7.55,2.457618169,7.884795495
SFD_20,8.55,2.736062173,5.598660554
SFD_21,4.8,2.314010934,7.899525302
SFD_22,4.85,2.264416735,7.884795495
SFD_23,6.1,2.455544065,7.871626261
SFD_24,6.1,2.484234463,7.885429601
SFD_25,4.8,2.343863909,7.878134297
SFD_26,8.65,2.759535751,5.68264903
SFD_27,8.7,2.757155507,5.68594759
SFD_28,4.75,2.521595224,7.844743463
SFD_3,7.55,2.489217987,7.896359921
SFD_4,8.8,2.549647331,5.614712815
SFD_5,8.35,2.568822983,5.774296494
SFD_6,7.6,2.383869904,7.943078748
SFD_7,7.55,2.391714568,7.988272654
SFD_8,7.7,2.322726474,7.915806971
SFD_9,7.7,2.331404812,7.913437938
SFE,9.6,2.015596674,8.862984825
SFE_1,10.75,2.038142654,7.68407444
SFE_10,9.35,2.315685145,8.984709233
SFE_11,9.1,2.313537766,9.162013971
SFE_12,5.1,2.31831441,9.323089617
