molecule	fluorine	shift	hartrees
CFCl3_standard_1	F5	196.4865	-1518.368374
sulfamide_B_1	F19	309.3704	-1067.893416
sulfamide_B_2	F19	309.3216	-1067.890457
sulfamide_B_3	F19	309.8423	-1067.893723
sulfamide_B_4	F19	310.0796	-1067.89203
sulfamide_E_1	F13	277.99515	-1412.790733
sulfamide_E_2	F13	279.0979833	-1412.789144
sulfamide_E_3	F13	277.6994667	-1412.787734
sulfamide_E_4	F13	278.9462833	-1412.786331
sulfamide_E_5	F13	278.1753667	-1412.782621
sulfamide_E_6	F13	280.4011167	-1412.790139
sulfamide_E_7	F13	277.5016	-1412.786961
sulfamide_E_8	F13	275.9188667	-1412.778345
sulfamoylF_B_1	F4	94.3774	-1111.762153
sulfamoylF_B_2	F4	85.137	-1111.762414
sulfamoylF_B_3	F4	68.6759	-1111.754683
sulfamoylF_B_4	F4	69.3813	-1111.754752
sulfamoylF_B_5	F4	73.0521	-1111.754402
sulfamoylF_B_6	F4	73.0262	-1111.754574
sulfamoylF_B_1	F20	308.258	-1111.762153
sulfamoylF_B_2	F20	309.334	-1111.762414
sulfamoylF_B_3	F20	308.616	-1111.754683
sulfamoylF_B_4	F20	308.356	-1111.754752
sulfamoylF_B_5	F20	309.5665	-1111.754402
sulfamoylF_B_6	F20	309.5591	-1111.754574
sulfamoylF_E_1	F4	66.6144	-1456.655496
sulfamoylF_E_2	F4	55.8638	-1456.651889
sulfamoylF_E_3	F4	72.499	-1456.651769
sulfamoylF_E_4	F4	76.5519	-1456.652034
sulfamoylF_E_5	F4	56.6323	-1456.65424
sulfamoylF_E_1	F14	277.9670667	-1456.655496
sulfamoylF_E_2	F14	279.4783167	-1456.651889
sulfamoylF_E_3	F14	278.5811833	-1456.651769
sulfamoylF_E_4	F14	277.6386167	-1456.652034
sulfamoylF_E_5	F14	279.9458667	-1456.65424
